"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,White alone,Unknown,540,519,392,72.6,3.5,75.5,3.5,348,64.4,3.8,67,3.8
,White non-Hispanic alone,Unknown,495,490,378,76.3,3.5,77.1,3.5,335,67.8,3.9,68.4,3.9
,Black alone,Unknown,172,164,114,66.6,6.3,69.8,6.3,106,61.7,6.5,64.7,6.6
,Asian alone,Unknown,31,21,18,B,B,B,B,18,B,B,B,B
,Hispanic (of any race),Unknown,57,37,22,B,B,B,B,20,B,B,B,B
,White alone or in combination,Unknown,554,531,404,73,3.5,76.1,3.4,359,64.8,3.7,67.6,3.7
,Black alone or in combination,Unknown,181,171,121,67.2,6.1,70.9,6.1,112,62,6.3,65.3,6.4
,Asian alone or in combination,Unknown,36,26,23,B,B,B,B,23,B,B,B,B
DISTRICT OF COLUMBIA,Total,Unknown,576,534,464,80.5,2.7,86.9,2.4,448,77.8,2.8,84,2.6
,Unknown,Male,264,245,209,79,4.1,85.1,3.7,200,75.7,4.3,81.5,4
,Unknown,Female,312,288,255,81.7,3.6,88.4,3.1,248,79.5,3.7,86,3.3
,White alone,Unknown,278,253,229,82.5,3.7,90.5,3,223,80.3,3.9,88.1,3.3
,White non-Hispanic alone,Unknown,243,232,213,87.5,3.4,91.5,3,206,84.9,3.7,88.8,3.4
,Black alone,Unknown,251,243,202,80.4,3.9,83.2,3.7,193,76.7,4.1,79.3,4
,Asian alone,Unknown,36,27,25,B,B,B,B,25,B,B,B,B
,Hispanic (of any race),Unknown,50,32,26,B,B,B,B,26,B,B,B,B
,White alone or in combination,Unknown,285,259,234,82.3,3.7,90.4,3,228,80.2,3.8,88,3.3
,Black alone or in combination,Unknown,256,248,207,80.6,3.8,83.3,3.7,197,76.9,4.1,79.5,4
,Asian alone or in combination,Unknown,40,30,27,B,B,B,B,27,B,B,B,B
FLORIDA,Total,Unknown,17244,15645,10495,60.9,1.5,67.1,1.5,9720,56.4,1.5,62.1,1.6
,Unknown,Male,8263,7523,4965,60.1,2.2,66,2.2,4563,55.2,2.2,60.7,2.3
,Unknown,Female,8982,8121,5530,61.6,2.1,68.1,2.1,5157,57.4,2.1,63.5,2.2
,White alone,Unknown,13675,12515,8468,61.9,1.7,67.7,1.7,7887,57.7,1.7,63,1.7
,White non-Hispanic alone,Unknown,9553,9374,6676,69.9,1.9,71.2,1.9,6260,65.5,2,66.8,2
,Black alone,Unknown,2652,2344,1533,57.8,3.7,65.4,3.8,1375,51.8,3.8,58.7,3.9
,Asian alone,Unknown,585,462,260,44.5,8.2,56.4,9.2,257,43.9,8.2,55.6,9.2
,Hispanic (of any race),Unknown,4439,3394,1992,44.9,3.2,58.7,3.6,1789,40.3,3.1,52.7,3.6
,White alone or in combination,Unknown,13843,12675,8569,61.9,1.7,67.6,1.7,7982,57.7,1.7,63,1.7
,Black alone or in combination,Unknown,2819,2504,1624,57.6,3.6,64.9,3.7,1460,51.8,3.6,58.3,3.8
,Asian alone or in combination,Unknown,591,467,266,45,8.2,56.9,9.1,263,44.4,8.2,56.2,9.2
GEORGIA,Total,Unknown,8032,7400,5233,65.2,2.2,70.7,2.2,4888,60.9,2.2,66.1,2.3
,Unknown,Male,3765,3461,2354,62.5,3.3,68,3.3,2180,57.9,3.3,63,3.4
,Unknown,Female,4267,3938,2880,67.5,3,73.1,2.9,2707,63.5,3,68.7,3
,White alone,Unknown,4785,4521,3297,68.9,2.8,72.9,2.7,3079,64.3,2.9,68.1,2.9
,White non-Hispanic alone,Unknown,4239,4194,3152,74.3,2.8,75.1,2.8,2947,69.5,2.9,70.3,2.9
,Black alone,Unknown,2569,2513,1721,67,3.7,68.5,3.6,1608,62.6,3.8,64,3.8
,Asian alone,Unknown,389,217,124,31.8,9.6,56.9,13.6,116,29.8,9.4,53.3,13.7
,Hispanic (of any race),Unknown,739,403,192,25.9,6.9,47.6,10.7,178,24.1,6.8,44.2,10.7
,White alone or in combination,Unknown,4857,4593,3351,69,2.7,73,2.7,3127,64.4,2.8,68.1,2.8
,Black alone or in combination,Unknown,2702,2597,1776,65.7,3.6,68.4,3.6,1657,61.3,3.7,63.8,3.7
,Asian alone or in combination,Unknown,398,226,133,33.3,9.6,58.7,13.3,125,31.4,9.4,55.2,13.4
HAWAII,Total,Unknown,1056,980,673,63.8,3.3,68.7,3.3,630,59.7,3.3,64.3,3.4
,Unknown,Male,509,481,333,65.4,4.6,69.3,4.6,313,61.5,4.7,65.2,4.8
,Unknown,Female,546,499,340,62.3,4.6,68.2,4.6,317,57.9,4.6,63.5,4.7
,White alone,Unknown,261,246,184,70.5,6.2,74.8,6.1,175,67,6.4,71.1,6.4
,White non-Hispanic alone,Unknown,228,218,165,72.4,6.5,75.6,6.4,159,69.5,6.7,72.7,6.6
,Black alone,Unknown,18,18,15,B,B,B,B,11,B,B,B,B
,Asian alone,Unknown,489,436,291,59.5,4.8,66.7,4.9,268,54.8,4.9,61.4,5
,Hispanic (of any race),Unknown,71,66,35,B,B,B,B,30,B,B,B,B
,White alone or in combination,Unknown,374,359,260,69.6,5.2,72.5,5.2,248,66.4,5.4,69.2,5.4
,Black alone or in combination,Unknown,25,25,15,B,B,B,B,11,B,B,B,B
,Asian alone or in combination,Unknown,613,561,377,61.4,4.3,67.2,4.3,351,57.3,4.3,62.7,4.4
IDAHO,Total,Unknown,1370,1299,900,65.7,3.1,69.3,3.1,843,61.6,3.2,64.9,3.2
,Unknown,Male,679,643,434,63.9,4.5,67.5,4.5,410,60.4,4.5,63.8,4.6
,Unknown,Female,691,656,466,67.5,4.3,71.1,4.3,433,62.7,4.5,66,4.5
,White alone,Unknown,1279,1227,857,67,3.2,69.8,3.2,806,63,3.3,65.6,3.3
,White non-Hispanic alone,Unknown,1130,1119,800,70.8,3.3,71.5,3.3,755,66.8,3.4,67.5,3.4
,Black alone,Unknown,10,7,5,B,B,B,B,4,B,B,B,B
,Asian alone,Unknown,22,12,7,B,B,B,B,5,B,B,B,B
