"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,Unknown,Female,299,275,229,76.8,3.2,83.5,2.9,212,71,3.4,77.2,3.3
,White alone,Unknown,264,243,209,79.5,3.2,86.3,2.9,194,73.7,3.5,80,3.3
,White non-Hispanic alone,Unknown,231,222,195,84.6,3.1,88.2,2.8,181,78.6,3.5,81.9,3.4
,Black alone,Unknown,250,238,184,73.9,4.4,77.5,4.3,162,64.8,4.8,68,4.8
,Asian alone,Unknown,27,18,14,B,B,B,B,13,B,B,B,B
,Hispanic (of any race),Unknown,42,28,20,B,B,B,B,18,B,B,B,B
,White alone or in combination,Unknown,274,253,219,80,3.2,86.6,2.8,203,74.3,3.4,80.5,3.3
,Black alone or in combination,Unknown,259,247,192,74.2,4.3,77.7,4.2,169,65.4,4.7,68.4,4.7
,Asian alone or in combination,Unknown,29,20,16,B,B,B,B,15,B,B,B,B
FLORIDA,Total,Unknown,16202,14428,9604,59.3,1.3,66.6,1.3,8578,52.9,1.3,59.5,1.3
,Unknown,Male,7736,6868,4377,56.6,1.8,63.7,1.9,3920,50.7,1.9,57.1,1.9
,Unknown,Female,8466,7560,5226,61.7,1.7,69.1,1.7,4658,55,1.8,61.6,1.8
,White alone,Unknown,13097,11793,8141,62.2,1.4,69,1.4,7277,55.6,1.4,61.7,1.5
,White non-Hispanic alone,Unknown,9307,9066,6432,69.1,1.6,70.9,1.6,5781,62.1,1.6,63.8,1.6
,Black alone,Unknown,2434,2083,1149,47.2,4,55.2,4.3,1051,43.2,4,50.5,4.3
,Asian alone,Unknown,483,381,192,39.7,9.2,50.3,10.5,154,31.9,8.7,40.4,10.3
,Hispanic (of any race),Unknown,4010,2871,1779,44.4,4,62,4.6,1552,38.7,3.9,54.1,4.8
,White alone or in combination,Unknown,13217,11899,8212,62.1,1.4,69,1.4,7336,55.5,1.4,61.7,1.5
,Black alone or in combination,Unknown,2496,2135,1184,47.4,3.9,55.4,4.2,1077,43.2,3.9,50.4,4.3
,Asian alone or in combination,Unknown,525,424,212,40.4,8.8,50.1,10,170,32.3,8.4,40,9.8
GEORGIA,Total,Unknown,7626,7048,4892,64.1,1.8,69.4,1.8,4246,55.7,1.9,60.2,1.9
,Unknown,Male,3623,3317,2237,61.7,2.7,67.4,2.7,1908,52.7,2.7,57.5,2.8
,Unknown,Female,4003,3731,2655,66.3,2.5,71.2,2.5,2338,58.4,2.6,62.7,2.6
,White alone,Unknown,4798,4453,3179,66.2,2.3,71.4,2.2,2786,58.1,2.4,62.6,2.4
,White non-Hispanic alone,Unknown,4184,4142,3028,72.4,2.3,73.1,2.3,2643,63.2,2.5,63.8,2.5
,Black alone,Unknown,2325,2255,1552,66.8,3.9,68.8,3.9,1346,57.9,4.1,59.7,4.1
,Asian alone,Unknown,365,225,101,27.7,9.8,44.9,13.9,71,19.3,8.7,31.3,12.9
,Hispanic (of any race),Unknown,680,335,168,24.8,8.6,50.2,14.2,161,23.6,8.5,47.9,14.2
,White alone or in combination,Unknown,4872,4526,3224,66.2,2.2,71.2,2.2,2815,57.8,2.3,62.2,2.4
,Black alone or in combination,Unknown,2364,2294,1578,66.8,3.9,68.8,3.9,1360,57.5,4.1,59.3,4.1
,Asian alone or in combination,Unknown,375,235,106,28.3,9.7,45.1,13.6,71,18.8,8.4,30,12.5
HAWAII,Total,Unknown,1064,974,530,49.8,2.7,54.4,2.8,460,43.3,2.7,47.3,2.8
,Unknown,Male,519,476,249,48,3.9,52.3,4,215,41.5,3.8,45.2,4
,Unknown,Female,545,498,281,51.6,3.8,56.5,3.9,245,45,3.8,49.3,4
,White alone,Unknown,225,220,144,63.9,5.7,65.4,5.7,129,57.4,5.8,58.7,5.9
,White non-Hispanic alone,Unknown,209,205,138,66.3,5.8,67.5,5.8,126,60.2,6,61.3,6
,Black alone,Unknown,24,24,16,B,B,B,B,15,B,B,B,B
,Asian alone,Unknown,492,417,206,41.8,5,49.3,5.5,182,37,4.9,43.6,5.4
,Hispanic (of any race),Unknown,78,74,43,B,B,B,B,36,B,B,B,B
